train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/ent_coef_loss,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate
0.004065868444740772,-4.19890407,9529,3,0.027288679033517838,-0.7177493572235107,652,37012,2.2690987586975098,37113,44.22,0.0003
0.004106407053768635,-4.21500305,9720,3,0.02162346988916397,0.8598469495773315,656,37199,2.3234598636627197,37300,44.49,0.0003
0.004142383113503456,-4.1516224799999994,9866,3,0.025645948946475983,-0.5976282358169556,660,37341,2.3317925930023193,37442,44.09,0.0003
0.004150699358433485,-4.28293654,10059,3,0.046348169445991516,0.15168265998363495,664,37530,2.259031057357788,37631,44.43,0.0003
0.004178606439381838,-4.26838786,10211,3,0.04352898150682449,0.5055717825889587,668,37679,2.3567638397216797,37780,44.77,0.0003
0.0041778553277254105,-4.065905269999999,10370,3,0.06310635805130005,-0.27150222659111023,672,37834,2.3549444675445557,37935,44.02,0.0003
0.004198587033897638,-4.072792140000001,10549,3,0.07029042392969131,-1.2354581356048584,676,38009,2.1914303302764893,38110,43.71,0.0003
0.0042246198281645775,-3.9335939599999996,10690,3,0.04040941596031189,-1.181103229522705,680,38146,2.2201027870178223,38247,42.7,0.0003
0.004175899550318718,-4.01565252,10863,3,0.03786880895495415,0.11729877442121506,684,38315,2.2842845916748047,38416,43.19,0.0003
0.004234028048813343,-3.91135839,11007,3,0.04127737134695053,-0.27088603377342224,688,38455,2.28922963142395,38556,42.91,0.0003
0.00424696272239089,-3.81375247,11160,3,0.06685090065002441,1.3326646089553833,692,38604,2.257871150970459,38705,42.61,0.0003
0.004282832145690918,-3.75754889,11290,3,0.08470262587070465,1.5838873386383057,696,38730,2.2842297554016113,38831,42.09,0.0003
0.004318568389862776,-3.750581520000001,11520,3,0.04511737823486328,0.08712776005268097,700,38956,2.3022074699401855,39057,42.11,0.0003
0.00439862348139286,-3.7693211999999994,11685,3,0.0806683897972107,-0.5404454469680786,704,39118,2.320803165435791,39219,42.15,0.0003
0.004431772045791149,-3.6797063299999997,11868,3,0.06802356243133545,-0.811001718044281,708,39297,2.235031843185425,39398,41.61,0.0003
0.004455983638763428,-3.61963636,12027,3,0.054566651582717896,1.5767433643341064,712,39452,2.2847228050231934,39553,41.12,0.0003
0.00447339192032814,-3.7293778900000003,12246,3,0.10883156210184097,0.05842587351799011,716,39668,2.2111990451812744,39769,42.03,0.0003
0.004485714249312878,-3.6766641699999996,12352,3,0.017922814935445786,-1.3614692687988281,720,39815,2.2629001140594482,39916,41.74,0.0003
0.004453789442777634,-3.7350465799999997,12383,3,0.037429776042699814,0.4890875220298767,724,39998,2.3482463359832764,40099,41.95,0.0003
0.004464047960937023,-3.7938571900000007,12418,3,0.05689927935600281,0.360046923160553,728,40210,2.3213226795196533,40311,42.12,0.0003
0.004433413967490196,-3.5551732699999996,12438,3,0.05626113712787628,-1.2123088836669922,732,40324,2.187971353530884,40425,40.74,0.0003
0.004462243523448706,-3.73012233,12483,3,0.06286311149597168,0.3047885298728943,736,40597,2.246797561645508,40698,41.78,0.0003
0.004425896797329187,-3.8055144800000007,12520,3,0.04494268074631691,-0.5332900285720825,740,40817,2.3436319828033447,40918,42.05,0.0003
0.004410692024976015,-3.8139128899999997,12544,3,0.04686559736728668,-0.6583054661750793,744,40953,2.2654595375061035,41054,41.9,0.0003
