train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss
62659,44777,-10.510125190000002,62760,672,1.226448655128479,0.0003,1,0.14102113246917725,0.003338830778375268,78.1,9.637350082397461
62878,45000,-10.25136369,62979,676,-3.5832653045654297,0.0003,1,0.04581833258271217,0.003321252763271332,77.36,9.321090698242188
63237,45363,-10.28497148,63338,680,-2.7871711254119873,0.0003,1,0.05311141535639763,0.003325698198750615,77.53,9.378589630126953
63516,45648,-10.180597239999999,63617,684,-0.07272842526435852,0.0003,1,0.03610339015722275,0.0033301841467618942,77.14,9.911661148071289
63759,45894,-10.03673894,63860,688,2.0044760704040527,0.0003,1,0.041277192533016205,0.003272113623097539,76.46,9.676606178283691
64159,46298,-9.91106412,64260,692,-3.9924473762512207,0.0003,1,0.12069939076900482,0.003301494987681508,76.46,9.236334800720215
64437,46580,-9.735158649999999,64538,696,-0.19596317410469055,0.0003,1,0.04823172092437744,0.0033047853503376245,75.24,9.912450790405273
64775,46922,-9.745374270000001,64876,700,0.966529369354248,0.0003,1,0.4572029113769531,0.003328504506498575,75.23,9.568078994750977
65052,47202,-9.738668330000001,65153,704,1.041600227355957,0.0003,1,0.05632220581173897,0.0033268099650740623,75.23,9.58039665222168
65348,47503,-9.823039649999998,65449,708,-0.549342155456543,0.0003,1,0.058815497905015945,0.0033282903023064137,75.42,9.320151329040527
65680,47839,-9.87313148,65781,712,-0.843885064125061,0.0003,1,0.20178495347499847,0.0033724757377058268,75.74,9.741608619689941
65935,48098,-9.89314481,66036,716,-0.08134818077087402,0.0003,1,0.04499258100986481,0.0034011085517704487,75.86,9.763230323791504
66295,48461,-10.13650638,66396,720,-0.8142076730728149,0.0003,1,0.16105866432189941,0.0034722054842859507,77.29,9.599679946899414
66667,48838,-10.30260854,66768,724,3.1536905765533447,0.0003,1,0.1705171763896942,0.0034295888617634773,78.25,9.623334884643555
66905,49079,-10.22829404,67006,728,-0.17818540334701538,0.0003,1,0.05258927494287491,0.0034448658116161823,77.23,9.111380577087402
67251,49430,-10.242704390000002,67352,732,-1.7165566682815552,0.0003,1,0.13422317802906036,0.003418499371036887,77.46,9.408546447753906
67540,49723,-10.18341402,67641,736,1.1833691596984863,0.0003,1,0.06548778712749481,0.0034672964829951525,76.96,9.31351089477539
67846,50032,-10.358977759999998,67947,740,-2.5395967960357666,0.0003,1,0.0695207417011261,0.003471005242317915,77.79,9.391059875488281
68120,50312,-10.4181794,68221,744,-5.563581466674805,0.0003,1,0.056138306856155396,0.003494179341942072,77.05,9.141568183898926
68388,50584,-10.3727347,68489,748,-2.5861148834228516,0.0003,1,0.06330657005310059,0.0035047302953898907,76.92,9.050457954406738
68678,50878,-10.386861210000005,68779,752,1.815676212310791,0.0003,1,0.1558067798614502,0.0035060325171798468,77.19,9.503893852233887
69019,51223,-10.4464675,69120,756,2.127159595489502,0.0003,1,0.0631728321313858,0.00347829214297235,77.18,9.679561614990234
69368,51576,-10.31627294,69469,760,-2.059134006500244,0.0003,1,0.05463530868291855,0.003523803548887372,76.67,9.548616409301758
