rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/learning_rate,time/episodes,train/actor_loss,train/ent_coef,time/fps,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/n_updates
-2.1632222800000003,0.013026997447013855,74012,0.0003,2076,1.6358380317687988,0.0038263550959527493,1,0.30278363823890686,45815,18.22,73911
-2.15754624,0.028848888352513313,74085,0.0003,2080,1.72425377368927,0.003838060889393091,1,-0.33283284306526184,45892,18.5,73984
-2.1647789900000003,0.04026962071657181,74156,0.0003,2084,1.5899739265441895,0.0038490775041282177,1,-1.926095962524414,45965,18.74,74055
-2.15068619,0.029700767248868942,74280,0.0003,2088,1.6779794692993164,0.003897943999618292,1,0.17769423127174377,46093,19.39,74179
-2.14227918,0.030659053474664688,74370,0.0003,2092,1.5858380794525146,0.003911144100129604,1,1.3019835948944092,46187,19.33,74269
-2.15827675,0.01989820972084999,74427,0.0003,2096,1.8571195602416992,0.003937268164008856,1,0.9346771240234375,46247,19.12,74326
-2.1201054,0.019220931455492973,74543,0.0003,2100,1.6530606746673584,0.003912679385393858,1,0.921872079372406,46366,19.5,74442
-2.11814502,0.038744907826185226,74611,0.0003,2104,1.5785698890686035,0.003914463333785534,1,-0.9031811952590942,46438,19.06,74510
-2.15997707,0.044628120958805084,74704,0.0003,2108,1.6673731803894043,0.003939978312700987,1,-0.04315131902694702,46534,19.28,74603
-2.3344731,0.023563288152217865,74823,0.0003,2112,1.6255466938018799,0.003938186448067427,1,0.13039380311965942,46657,19.66,74722
-2.37013707,0.025653328746557236,74878,0.0003,2116,1.6251059770584106,0.0039438651874661446,1,-0.4370315670967102,46714,19.83,74777
-2.4084967200000005,0.020798485726118088,74960,0.0003,2120,1.6142756938934326,0.003957991022616625,1,-0.3419743776321411,46801,20.28,74859
-2.4181820600000004,0.03657267242670059,75040,0.0003,2124,1.6749898195266724,0.003936705179512501,1,-0.5699844360351562,46884,20.17,74939
-2.3900288,0.016779623925685883,75084,0.0003,2128,1.633323311805725,0.00392493000254035,1,0.19104641675949097,46932,19.88,74983
-2.39918597,0.018125494942069054,75137,0.0003,2132,1.6331822872161865,0.0039267162792384624,1,0.39894208312034607,46989,19.48,75036
-2.39260158,0.024227477610111237,75215,0.0003,2136,1.64663827419281,0.003935057204216719,1,-1.285119891166687,47071,19.56,75114
-2.36846809,0.026596058160066605,75266,0.0003,2140,1.6840167045593262,0.0039337570779025555,1,-1.6865193843841553,47123,19.22,75165
-2.38820712,0.015354856848716736,75327,0.0003,2144,1.6975536346435547,0.00392181146889925,1,-0.911281943321228,47188,19.0,75226
-2.35712499,0.061630893498659134,75374,0.0003,2148,1.5859779119491577,0.003901264863088727,1,0.5210544466972351,47240,18.12,75273
