train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/episodes
9.239236831665039,49307,0.05043564736843109,63479,63580,-2.0282180309295654,77.89,1,0.0036249717231839895,0.0003,-11.74186628,676
9.304547309875488,49343,0.16803815960884094,63668,63769,-3.100111961364746,75.78,1,0.0036549516953527927,0.0003,-11.457942929999996,680
9.214462280273438,49392,0.05015333369374275,63943,64044,-0.09789419174194336,75.28,1,0.0036358290817588568,0.0003,-11.409852950000001,684
9.160828590393066,49442,0.1322280764579773,64226,64327,2.7780306339263916,74.86,1,0.003756062826141715,0.0003,-11.270959540000002,688
9.199414253234863,49499,0.09048734605312347,64564,64665,0.27146047353744507,74.74,1,0.003795439610257745,0.0003,-11.11192195,692
9.115200996398926,49548,0.045737892389297485,64839,64940,-1.4612387418746948,73.85,1,0.003766571171581745,0.0003,-11.005016119999999,696
8.757614135742188,49598,0.12284718453884125,65117,65218,1.1486560106277466,73.88,1,0.003858256386592984,0.0003,-11.060716530000002,700
9.269229888916016,49645,0.051488686352968216,65394,65495,-0.3114485740661621,72.91,1,0.003852443303912878,0.0003,-10.881314580000002,704
9.223794937133789,49710,0.0627322867512703,65732,65833,3.218595504760742,73.54,1,0.003867895808070898,0.0003,-11.02997653,708
9.120546340942383,49747,0.1406955122947693,65946,66047,-1.6422786712646484,73.17,1,0.003985611721873283,0.0003,-11.06173179,712
9.059379577636719,49786,0.06142221763730049,66177,66278,0.5815517902374268,72.36,1,0.004005863331258297,0.0003,-10.796687329999997,716
9.151269912719727,49840,0.1171095222234726,66484,66585,-1.9196689128875732,72.05,1,0.004041203297674656,0.0003,-10.59844556,720
8.838207244873047,49886,0.19312086701393127,66719,66820,-3.7044434547424316,71.53,1,0.004013451747596264,0.0003,-10.49260454,724
8.863080024719238,49929,0.059736356139183044,66960,67061,1.2632381916046143,70.55,1,0.00408107740804553,0.0003,-10.26683994,728
8.941770553588867,49974,0.05328372120857239,67208,67309,1.0946648120880127,71.09,1,0.004057284910231829,0.0003,-10.271235670000001,732
8.64307975769043,50016,0.06253211200237274,67434,67535,-2.1871581077575684,70.41,1,0.004072259645909071,0.0003,-10.2967401,736
8.860093116760254,50069,0.04988711327314377,67707,67808,0.18986672163009644,70.19,1,0.0040659052319824696,0.0003,-10.12138518,740
8.73226261138916,50119,0.13303953409194946,67985,68086,0.5248802900314331,69.3,1,0.004079330246895552,0.0003,-10.098631189999999,744
8.997674942016602,50177,0.11396127194166183,68307,68408,0.36104869842529297,69.24,1,0.0040939198806881905,0.0003,-10.12100684,748
8.768383979797363,50210,0.10218815505504608,68483,68584,1.6022893190383911,68.18,1,0.004090202506631613,0.0003,-9.78808939,752
8.99226188659668,50253,0.17734573781490326,68707,68808,1.2068922519683838,66.95,1,0.004157913848757744,0.0003,-9.560546749999999,756
8.919530868530273,50281,0.2083546221256256,68861,68962,-1.7988533973693848,65.1,1,0.004173554480075836,0.0003,-9.146523979999998,760
8.619612693786621,50323,0.1120915487408638,69084,69185,-0.06177014112472534,64.55,1,0.004139579366892576,0.0003,-9.08351664,764
8.782584190368652,50366,0.06462785601615906,69322,69423,-0.22617065906524658,63.5,1,0.004145340994000435,0.0003,-8.774469269999999,768
8.557827949523926,50407,0.061186499893665314,69546,69647,-2.221701145172119,63.41,1,0.004093949217349291,0.0003,-8.712970299999999,772
8.49802303314209,50447,0.11173489689826965,69758,69859,0.48515576124191284,62.79,1,0.004107605665922165,0.0003,-8.575307579999999,776
8.796587944030762,50481,0.10986821353435516,69937,70038,-1.0769953727722168,62.69,1,0.004048752598464489,0.0003,-8.510425730000001,780
8.406343460083008,50523,0.055561184883117676,70161,70262,0.17501875758171082,62.18,1,0.004011364653706551,0.0003,-8.378214700000001,784
8.193169593811035,50569,0.09909476339817047,70409,70510,0.5476013422012329,61.83,1,0.003989743534475565,0.0003,-8.36539349,788
8.444786071777344,50609,0.1548023521900177,70622,70723,-0.9602382183074951,60.58,1,0.003985370509326458,0.0003,-8.17351586,792
8.24520206451416,50657,0.11141017079353333,70871,70972,1.231669545173645,60.32,1,0.004013930447399616,0.0003,-8.33882917,796
8.571636199951172,50710,0.1083541214466095,71160,71261,1.8175586462020874,60.43,1,0.003994832281023264,0.0003,-8.35207666,800
8.389690399169922,50786,0.07299439609050751,71556,71657,0.956373929977417,61.62,1,0.0040586162358522415,0.0003,-8.56966646,804
8.23949909210205,50834,0.05849633365869522,71832,71933,-1.2866053581237793,61.0,1,0.00404564943164587,0.0003,-8.54681188,808
7.9402313232421875,50892,0.10828433930873871,72175,72276,-0.5379350781440735,62.29,1,0.004112326540052891,0.0003,-8.686810490000001,812
