time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/total_timesteps,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean
1,0.0027935977559536695,5.8275227546691895,32837,44745,0.04264998063445091,0.8376561999320984,99.61,448,0.0003,44644,-24.249664250000002
1,0.002786440309137106,6.183351516723633,33241,45145,0.038592711091041565,0.7174686193466187,99.61,452,0.0003,45044,-23.7866754
1,0.002820363035425544,6.496448993682861,33645,45545,0.045610420405864716,1.481925368309021,99.61,456,0.0003,45444,-23.350533040000002
1,0.002800903283059597,6.848055362701416,34042,45939,0.03808169811964035,-0.5784403085708618,99.55,460,0.0003,45838,-23.00659185
1,0.0028230068273842335,7.017996311187744,34447,46339,0.03900928795337677,-2.387032985687256,99.55,464,0.0003,46238,-22.67195134
1,0.0028115264140069485,7.1516032218933105,34851,46739,0.04577304422855377,0.27685678005218506,99.55,468,0.0003,46638,-22.61257671
1,0.002831868827342987,7.433765888214111,35255,47139,0.03557933494448662,3.5275654792785645,99.55,472,0.0003,47038,-22.452528119999997
1,0.0028537230100482702,7.590367317199707,35659,47539,0.032393865287303925,2.3794307708740234,99.55,476,0.0003,47438,-22.344104469999994
1,0.0028655724599957466,7.751398086547852,36062,47939,0.03993634134531021,2.0753262042999268,99.55,480,0.0003,47838,-22.21884976
1,0.0028522005304694176,8.131338119506836,36467,48339,0.028412731364369392,-1.4024763107299805,99.55,484,0.0003,48238,-22.12245378
1,0.0028408777434378862,8.139453887939453,36871,48739,0.0387708954513073,-1.69837486743927,99.55,488,0.0003,48638,-22.134202189999996
1,0.002882266417145729,8.311507225036621,37274,49139,0.03899100422859192,1.394430160522461,99.55,492,0.0003,49038,-21.90889715
1,0.002850908786058426,8.626606941223145,37679,49539,0.04323140159249306,1.287865400314331,99.55,496,0.0003,49438,-21.893204020000002
1,0.0028626348357647657,8.890531539916992,38084,49939,0.04325401037931442,-0.15563616156578064,99.55,500,0.0003,49838,-21.53878764
1,0.0029307298827916384,9.109185218811035,38422,50274,0.040876731276512146,0.3202693462371826,98.9,504,0.0003,50173,-21.265626240000003
1,0.002956274664029479,9.354785919189453,38827,50674,0.040675558149814606,-0.026069819927215576,98.9,508,0.0003,50573,-21.072772309999994
1,0.002945691579952836,9.479604721069336,39166,51010,0.03736679628491402,3.580296754837036,98.26,512,0.0003,50909,-21.027412119999997
1,0.0029423267114907503,9.662901878356934,39548,51387,0.05028610676527023,2.1313750743865967,98.03,516,0.0003,51286,-20.85828661
1,0.0029762021731585264,9.728734970092773,39884,51720,0.03690050169825554,-0.559391975402832,97.36,520,0.0003,51619,-20.57795233
1,0.0030386573635041714,10.073184967041016,40289,52120,0.04848085716366768,-0.8146111965179443,97.36,524,0.0003,52019,-20.641289299999997
1,0.0030728564597666264,10.2405424118042,40693,52520,0.048559144139289856,2.056446075439453,97.48,528,0.0003,52419,-20.38212809
1,0.0030533720273524523,10.167649269104004,41096,52920,0.05200565606355667,-1.424175500869751,97.48,532,0.0003,52819,-20.37207544
1,0.0030174353159964085,10.331181526184082,41499,53320,0.047561515122652054,-1.4284368753433228,97.48,536,0.0003,53219,-20.555873690000002
1,0.003051881678402424,10.41726303100586,41903,53720,0.04405625909566879,1.3646926879882812,97.75,540,0.0003,53619,-20.80455903
1,0.0031640927772969007,10.55558967590332,42254,54067,0.04063788428902626,-3.5698611736297607,97.22,544,0.0003,53966,-20.575657070000002
1,0.003108089789748192,10.829483032226562,42657,54467,0.04513196647167206,-1.149655818939209,97.22,548,0.0003,54366,-20.392751040000004
1,0.003134737955406308,10.804887771606445,43060,54867,0.04494224488735199,-0.33893340826034546,97.22,552,0.0003,54766,-20.34485815
1,0.0031154374592006207,11.188433647155762,43463,55267,0.038467392325401306,1.8283339738845825,97.22,556,0.0003,55166,-20.33860636
1,0.0031644124537706375,11.158923149108887,43812,55611,0.05336073786020279,1.3471567630767822,96.72,560,0.0003,55510,-20.21699766
1,0.0032342500053346157,11.239694595336914,44186,55981,0.047860465943813324,3.0924572944641113,96.42,564,0.0003,55880,-20.127066860000003
1,0.0032360439654439688,11.394929885864258,44555,56346,0.05170349031686783,-0.16402161121368408,96.07,568,0.0003,56245,-20.02726692
1,0.003162587294355035,11.4227294921875,44959,56746,0.045504599809646606,1.7497862577438354,96.07,572,0.0003,56645,-20.07641936
1,0.0031692085321992636,11.382221221923828,45362,57146,0.0387059710919857,-1.863540530204773,96.07,576,0.0003,57045,-20.17388517
1,0.0031578284688293934,11.5904541015625,45766,57546,0.056129347532987595,-0.7002546787261963,96.07,580,0.0003,57445,-20.14453109
1,0.0031993938609957695,11.722780227661133,46128,57905,0.05229566618800163,-1.471640706062317,95.66,584,0.0003,57804,-20.01273555
